aircraft_tail_number,flight_operating_hours,engine_vibration_hz,oil_pressure_psi,exhaust_gas_temp_c,hydraulic_fluid_level_pct,ambient_temperature_c,maintenance_urgency_flag
REG-FLT-000001,4153,5.51,69.15,600.11,55.08,28.1,0
REG-FLT-000002,10718,4.25,45.57,628.98,84.63,-14.69,0
REG-FLT-000003,16716,6.42,40.08,789.38,81.77,-1.39,0
REG-FLT-000004,17021,4.11,53.54,754.35,75.13,-12.64,0
REG-FLT-000005,3613,5.86,77.93,449.77,58.37,21.75,0
REG-FLT-000006,7566,2.53,93.92,456.78,56.47,8.22,0
REG-FLT-000007,18487,5.25,93.38,639.01,73.4,-41.22,0
REG-FLT-000008,14032,8.61,84.88,603.66,61.34,-16.43,1
REG-FLT-000009,18200,5.57,43.0,675.04,99.7,37.31,0
REG-FLT-000010,16335,4.98,47.91,858.29,81.19,29.84,1
REG-FLT-000011,14703,7.68,70.41,673.86,86.87,-16.28,1
REG-FLT-000012,8112,5.09,60.34,579.51,87.06,-37.68,0
REG-FLT-000013,333,1.59,88.64,541.47,94.68,-8.0,0
REG-FLT-000014,2895,6.69,47.47,590.7,60.05,37.08,0
REG-FLT-000015,3878,6.14,91.54,710.37,61.42,13.78,0
REG-FLT-000016,9662,4.88,84.87,871.32,90.96,31.51,1
REG-FLT-000017,3462,7.15,55.11,828.97,95.96,-42.23,1
REG-FLT-000018,14984,1.66,62.28,559.07,62.45,-32.14,0
REG-FLT-000019,626,8.59,72.02,870.92,55.41,-1.88,1
REG-FLT-000020,16315,2.94,36.36,668.32,63.97,-20.98,1
REG-FLT-000021,10546,5.99,36.52,463.79,96.88,-22.37,1
REG-FLT-000022,7138,7.93,74.45,481.85,70.73,-33.85,1
REG-FLT-000023,13266,6.05,81.07,864.66,96.17,40.83,1
REG-FLT-000024,8491,3.89,38.71,563.41,71.48,-17.11,0
REG-FLT-000025,11642,6.81,74.29,522.32,77.07,-19.64,0
REG-FLT-000026,11936,1.64,92.1,812.7,63.78,29.19,0
REG-FLT-000027,12582,5.6,53.99,674.93,56.18,-11.11,0
REG-FLT-000028,17079,5.54,64.3,853.69,79.55,40.27,1
REG-FLT-000029,2750,3.27,46.08,635.31,67.76,-29.53,0
REG-FLT-000030,11404,1.44,45.85,554.87,75.56,-7.56,0
REG-FLT-000031,3188,1.77,61.73,780.74,81.06,33.79,0
REG-FLT-000032,17881,3.65,41.73,525.85,55.18,12.4,0
REG-FLT-000033,9822,5.41,43.21,656.88,64.65,38.51,0
REG-FLT-000034,9674,2.66,56.42,698.47,93.8,22.0,0
REG-FLT-000035,15239,5.68,61.93,759.02,69.43,38.73,0
REG-FLT-000036,4866,2.19,62.96,579.22,57.18,-34.13,0
REG-FLT-000037,10375,3.14,54.78,853.48,90.45,-17.58,1
REG-FLT-000038,1060,2.39,83.2,469.43,92.24,6.38,0
REG-FLT-000039,12336,4.78,45.49,631.55,85.64,-0.43,0
REG-FLT-000040,12162,8.87,50.22,470.62,62.76,-1.43,1
REG-FLT-000041,15358,2.56,32.22,749.32,89.55,2.6,1
REG-FLT-000042,14085,2.7,42.69,817.76,54.87,24.69,0
REG-FLT-000043,3221,2.18,83.43,510.55,56.44,-30.08,0
REG-FLT-000044,13317,7.76,40.94,483.42,93.15,18.96,1
REG-FLT-000045,18418,6.41,60.56,844.84,55.01,-33.58,1
REG-FLT-000046,16583,7.65,37.79,507.61,62.88,-25.04,1
REG-FLT-000047,4065,4.27,47.58,681.31,53.12,25.61,0
REG-FLT-000048,14190,2.43,89.02,755.07,89.57,-18.0,0
REG-FLT-000049,16842,5.21,32.36,607.33,91.74,11.66,1
REG-FLT-000050,16340,3.05,87.93,741.59,50.47,20.23,0
REG-FLT-000051,13296,2.47,39.63,702.34,73.21,1.33,0
REG-FLT-000052,17441,5.59,76.92,545.23,55.38,-5.58,0
REG-FLT-000053,8725,4.03,65.19,425.24,69.39,-24.6,0
REG-FLT-000054,14011,3.06,36.01,843.75,90.2,-20.86,1
REG-FLT-000055,15952,7.98,57.53,869.05,85.85,-2.87,1
REG-FLT-000056,17058,2.32,64.62,511.31,88.43,21.98,0
REG-FLT-000057,17223,7.23,79.3,471.35,70.8,5.69,0
REG-FLT-000058,1081,1.72,90.13,632.84,59.7,-25.98,0
REG-FLT-000059,7607,7.24,63.54,445.71,92.04,25.18,0
REG-FLT-000060,4477,8.61,47.41,628.75,72.63,26.12,1
REG-FLT-000061,1851,5.6,63.95,560.58,77.5,17.44,0
REG-FLT-000062,17394,4.88,52.75,499.7,59.65,-41.17,0
REG-FLT-000063,3611,3.64,51.18,705.4,95.18,-15.83,0
REG-FLT-000064,14320,7.51,84.65,477.79,89.22,-13.58,1
REG-FLT-000065,15652,7.23,87.76,444.9,55.94,26.66,0
REG-FLT-000066,4916,3.35,81.91,493.82,72.53,-14.49,0
REG-FLT-000067,16047,6.68,46.11,827.1,95.0,-42.63,1
REG-FLT-000068,7751,3.95,44.0,498.08,77.76,-7.98,0
REG-FLT-000069,4248,7.27,73.37,782.18,79.9,-18.16,0
REG-FLT-000070,15218,4.53,92.74,827.78,93.11,-15.02,1
REG-FLT-000071,15631,7.74,80.46,463.35,80.44,42.17,1
REG-FLT-000072,18129,1.51,49.78,425.94,81.53,40.49,0
REG-FLT-000073,8474,5.84,63.52,755.74,59.57,16.17,0
REG-FLT-000074,13425,7.21,34.05,428.44,53.26,-36.37,1
REG-FLT-000075,10330,8.28,41.13,548.73,80.99,-27.66,1
REG-FLT-000076,18211,7.17,60.07,688.07,87.17,41.65,0
REG-FLT-000077,16696,5.45,36.1,790.79,98.99,-9.18,1
REG-FLT-000078,15942,2.63,53.66,744.6,61.73,-38.9,0
REG-FLT-000079,13421,7.47,58.83,878.21,65.63,-15.77,1
REG-FLT-000080,14440,1.9,57.0,492.15,64.02,-17.49,0
REG-FLT-000081,6886,5.77,86.31,656.99,55.35,-17.92,0
REG-FLT-000082,9896,3.53,56.1,429.83,61.82,-23.93,0
REG-FLT-000083,9065,6.01,68.15,429.15,79.31,3.36,0
REG-FLT-000084,553,5.25,73.95,697.6,91.94,-3.96,0
REG-FLT-000085,1334,1.86,36.49,823.89,57.09,-36.24,1
REG-FLT-000086,5160,7.99,88.78,737.65,54.83,36.24,1
REG-FLT-000087,15265,5.13,85.52,833.51,69.58,21.79,1
REG-FLT-000088,17384,1.59,53.02,524.6,89.85,20.95,0
REG-FLT-000089,16290,4.77,71.62,427.85,94.91,10.03,0
REG-FLT-000090,12044,4.96,87.1,564.4,53.87,29.62,0
REG-FLT-000091,6798,2.88,53.15,566.08,85.36,-24.65,0
REG-FLT-000092,8773,3.43,35.55,569.27,83.33,35.85,1
REG-FLT-000093,16161,1.57,48.93,435.29,67.29,20.96,0
REG-FLT-000094,15541,4.27,83.3,420.07,59.54,-1.73,0
REG-FLT-000095,17003,3.78,56.48,592.74,72.52,35.74,0
REG-FLT-000096,16540,1.85,45.33,634.01,67.49,-17.86,0
REG-FLT-000097,14478,2.53,46.47,805.25,57.6,41.85,0
REG-FLT-000098,1351,6.28,60.1,866.73,59.83,9.93,1
REG-FLT-000099,9754,3.5,33.4,606.17,88.6,18.48,1
REG-FLT-000100,10626,7.91,74.01,851.07,87.07,-30.62,1
REG-FLT-000101,15246,3.3,71.76,776.42,90.47,41.67,0
REG-FLT-000102,3473,2.05,68.24,803.5,97.27,39.33,0
REG-FLT-000103,14617,1.74,75.96,591.48,61.42,42.31,0
REG-FLT-000104,17131,2.33,70.55,828.1,94.52,14.05,1
REG-FLT-000105,8731,8.88,52.34,703.23,91.64,-17.0,1
REG-FLT-000106,15091,5.29,45.1,778.61,88.11,20.21,0
REG-FLT-000107,6248,2.3,56.33,592.88,51.71,37.18,0
REG-FLT-000108,14201,2.77,81.08,532.49,68.57,-14.54,0
REG-FLT-000109,15950,3.95,50.34,539.45,78.07,-22.21,0
REG-FLT-000110,2356,8.29,56.04,437.57,70.08,-1.01,1
REG-FLT-000111,8981,2.07,35.31,847.26,84.16,36.75,1
REG-FLT-000112,16582,6.99,85.5,572.71,69.93,-8.2,0
REG-FLT-000113,12378,2.22,81.56,639.46,65.06,13.44,0
REG-FLT-000114,3417,4.23,34.12,626.53,73.72,-21.75,1
REG-FLT-000115,6626,1.56,58.43,543.07,75.2,-17.33,0
REG-FLT-000116,13727,8.39,46.47,538.09,51.73,32.49,1
REG-FLT-000117,5045,7.71,88.19,596.4,85.64,15.74,1
